session_key,meeting_key,date,driver_number,pit_duration,lap_number
9550,1239,2024-06-30T13:04:53.204000+00:00,16,31.9,1
9550,1239,2024-06-30T13:04:55.523000+00:00,2,31.7,1
9550,1239,2024-06-30T13:15:24.903000+00:00,20,21.5,10
9550,1239,2024-06-30T13:15:25.998000+00:00,3,21.5,10
9550,1239,2024-06-30T13:16:35.747000+00:00,27,22.3,11
9550,1239,2024-06-30T13:16:40.741000+00:00,14,21.4,11
9550,1239,2024-06-30T13:17:53.027000+00:00,23,21.8,12
9550,1239,2024-06-30T13:23:00.965000+00:00,16,21.6,16
9550,1239,2024-06-30T13:26:14.563000+00:00,31,22.2,19
9550,1239,2024-06-30T13:26:23.447000+00:00,77,21.9,19
9550,1239,2024-06-30T13:27:27.391000+00:00,10,21.4,20
9550,1239,2024-06-30T13:27:33.892000+00:00,18,21.3,20
9550,1239,2024-06-30T13:28:14.659000+00:00,2,22.5,20
9550,1239,2024-06-30T13:28:25.744000+00:00,44,21.5,21
9550,1239,2024-06-30T13:28:31.893000+00:00,11,21.2,21
9550,1239,2024-06-30T13:28:43.636000+00:00,22,21.2,21
9550,1239,2024-06-30T13:29:31.828000+00:00,63,21.6,22
9550,1239,2024-06-30T13:29:34.062000+00:00,55,21.2,22
9550,1239,2024-06-30T13:30:32.553000+00:00,1,21.8,23
9550,1239,2024-06-30T13:30:38.218000+00:00,4,21.6,23
9550,1239,2024-06-30T13:33:11.119000+00:00,81,20.9,25
9550,1239,2024-06-30T13:37:32.855000+00:00,24,23.1,28
9550,1239,2024-06-30T13:43:26.505000+00:00,16,22.2,33
9550,1239,2024-06-30T13:45:53.752000+00:00,14,33.9,35
9550,1239,2024-06-30T13:48:00.851000+00:00,3,21.0,37
9550,1239,2024-06-30T13:49:11.394000+00:00,20,21.8,38
9550,1239,2024-06-30T13:50:18.236000+00:00,27,21.8,39
9550,1239,2024-06-30T13:50:33.828000+00:00,23,21.6,39
9550,1239,2024-06-30T13:54:02.921000+00:00,10,22.0,42
9550,1239,2024-06-30T13:54:11.713000+00:00,77,21.9,42
9550,1239,2024-06-30T13:55:14.488000+00:00,31,21.2,43
9550,1239,2024-06-30T13:55:20.077000+00:00,18,21.3,43
9550,1239,2024-06-30T13:56:31.100000+00:00,22,23.4,44
9550,1239,2024-06-30T13:58:03.267000+00:00,63,21.2,46
9550,1239,2024-06-30T13:59:17.091000+00:00,55,21.2,47
9550,1239,2024-06-30T14:03:26.889000+00:00,2,22.0,49
9550,1239,2024-06-30T14:03:40.307000+00:00,1,25.8,51
9550,1239,2024-06-30T14:03:43.418000+00:00,4,21.4,51
9550,1239,2024-06-30T14:04:02.252000+00:00,81,20.7,51
9550,1239,2024-06-30T14:04:31.937000+00:00,11,27.5,51
9550,1239,2024-06-30T14:04:54.872000+00:00,16,20.9,51
9550,1239,2024-06-30T14:05:25.103000+00:00,24,21.5,51
9550,1239,2024-06-30T14:06:34.098000+00:00,44,27.2,53
9550,1239,2024-06-30T14:19:30.264000+00:00,1,22.7,64
9550,1239,2024-06-30T14:25:54.074000+00:00,14,22.4,68
